0,3,1,4,0,76,76,0
1,0,1,5,0,76,76,0
2,1,1,6,0,76,76,0
3,2,1,7,0,76,76,0
4,3,0,8,1,16,54,0
5,0,1,9,0,76,76,0
6,1,1,10,0,76,76,0
7,2,1,11,0,76,76,0
8,3,1,12,0,76,76,0
9,0,1,13,0,76,76,0
10,1,0,76,0,76,76,0
11,2,1,15,0,76,76,0
12,3,1,16,0,76,76,0
13,0,1,17,0,76,76,0
14,1,1,18,0,76,76,0
15,2,1,19,0,76,76,0
16,3,1,20,0,76,76,0
17,0,0,21,1,29,66,0
18,1,1,22,0,76,76,0
19,2,1,23,0,76,76,0
20,3,1,24,0,76,76,0
21,0,1,25,0,76,76,0
22,1,1,26,0,76,76,0
23,2,0,76,0,76,76,0
24,3,1,28,0,76,76,0
25,0,1,29,0,76,76,0
26,1,1,30,0,76,76,0
27,2,1,31,0,76,76,0
28,3,1,32,0,76,76,0
29,0,1,33,0,76,76,0
30,1,0,34,1,42,72,0
31,2,1,35,0,76,76,0
32,3,1,36,0,76,76,0
33,0,1,37,0,76,76,0
34,1,1,38,0,76,76,0
35,2,1,39,0,76,76,0
36,3,0,76,0,76,76,0
37,0,1,41,0,76,76,0
38,1,1,42,0,76,76,0
39,2,1,43,0,76,76,0
40,3,1,44,0,76,76,0
41,0,1,45,0,76,76,0
42,1,1,46,0,76,76,0
43,2,0,47,1,3,60,0
44,3,1,48,0,76,76,0
45,0,1,49,0,76,76,0
46,1,1,50,0,76,76,0
47,2,1,51,0,76,76,0
48,3,1,0,0,76,76,0
49,0,0,76,0,76,76,0
50,1,1,2,0,76,76,0
51,2,1,3,0,76,76,0
52,1,0,76,0,76,76,0
53,1,0,76,0,76,76,0
54,1,0,76,0,76,76,0
55,1,0,76,0,76,76,0
56,1,0,76,0,76,76,0
57,1,0,76,0,76,76,1
58,0,0,76,0,76,76,0
59,0,0,76,0,76,76,0
60,0,0,76,0,76,76,0
61,0,0,76,0,76,76,0
62,0,0,76,0,76,76,0
63,0,0,76,0,76,76,1
64,2,0,76,0,76,76,0
65,2,0,76,0,76,76,0
66,2,0,76,0,76,76,0
67,2,0,76,0,76,76,0
68,2,0,76,0,76,76,0
69,2,0,76,0,76,76,1
70,3,0,76,0,76,76,0
71,3,0,76,0,76,76,0
72,3,0,76,0,76,76,0
73,3,0,76,0,76,76,0
74,3,0,76,0,76,76,0
75,3,0,76,0,76,76,1
